,LATITUDE,LONGITUDE
165,62.03069,129.74057
166,62.02741,129.73405
167,62.02938,129.73112
168,62.03335,129.73431
169,62.03925,129.72278
170,62.04169,129.7223
171,62.04224,129.72701
172,62.04236,129.72687
173,62.03446,129.7583
174,62.03624,129.75694
175,62.0379,129.75461
176,63.2818,118.35379
177,62.02544,129.71928
178,62.06253,129.71608
179,62.05595,129.72112
180,62.0384,129.72572
181,62.10882,129.73135
182,62.06739,129.79687
183,62.0621,129.8214
184,62.03018,129.74177
185,62.05944,129.82332
186,62.06415,129.82077
187,60.57811,121.69816
188,60.59107,121.6625
189,61.97988,132.42814
190,62.07056,129.74214
191,71.38935,114.70271
192,71.37163,114.70282
193,71.34403,114.74359
194,71.34535,114.7883
195,71.35228,114.83222
196,71.35475,114.84749
197,71.35871,114.89415
198,71.35973,114.90259
199,62.03156,129.73825
200,71.35494,114.8507
201,62.03184,129.73797
202,62.04217,129.75517
203,62.04178,129.75591
204,62.04388,129.75575
205,62.05365,129.74976
206,62.05545,129.74982
207,62.05406,129.74994
208,62.05541,129.75069
209,62.04919,129.761
210,62.04886,129.75908
211,62.04047,129.7304
212,62.03857,129.72613
213,62.0324,129.71191
214,62.03128,129.70944
215,62.02339,129.69333
216,62.01812,129.68774
217,62.0291,129.70474
218,62.03911,129.72762
219,62.04351,129.73744
220,62.02886,129.73836
221,62.02757,129.73482
222,62.02599,129.73456
223,62.03944,129.6505
224,62.04387,129.63701
225,62.04388,129.63697
226,62.03869,129.62543
227,62.03214,129.62355
228,62.03277,129.62405
229,62.03228,129.62341
230,62.03405,129.62463
231,62.03399,129.62361
232,62.02697,129.63474
233,62.02659,129.65376
234,62.02658,129.6537
235,62.01952,129.6638
236,62.01968,129.66336
237,62.01936,129.6643
238,62.01925,129.66762
239,62.02076,129.67381
240,62.019,129.68018
241,61.9987,129.68369
242,61.97789,129.66945
243,61.8824,129.89429
244,62.04921,129.76105
245,62.04371,129.73698
246,62.04077,129.73096
247,62.04204,129.6428
248,62.03269,129.62331
249,62.02832,129.64388
250,62.0196,129.68059
251,61.90246,129.91652
252,61.95033,129.90038
253,61.9953,129.68555
254,61.95066,129.90159
255,61.95802,129.90738
256,61.97572,129.90985
257,61.98852,129.89818
258,61.98892,129.89604
259,61.98892,129.8944
260,61.98919,129.8929
261,61.9903,129.88814
262,61.99107,129.88226
263,61.99171,129.87555
264,61.99688,129.80836
