,LATITUDE,LONGITUDE
157,61.98574,129.90591
158,61.99974,129.81552
159,61.99508,129.80301
160,62.0248,129.77055
161,62.02893,129.7497
162,62.03054,129.74213
163,62.0302,129.74176
164,62.03118,129.74084
165,62.03054,129.74028
166,62.02786,129.73566
167,62.03522,129.7307
168,62.03872,129.72362
169,62.04275,129.72695
170,62.04226,129.72717
171,62.04061,129.75558
172,62.04034,129.75581
173,62.03766,129.75583
174,62.02545,129.71936
175,62.02815,129.71661
176,62.04986,129.72502
177,62.06249,129.71606
178,62.02562,129.71883
179,62.10946,129.72639
180,62.05821,129.82434
181,62.02698,129.71992
182,62.02727,129.71914
183,62.06359,129.82123
184,63.2817,118.35385
185,62.09116,129.79586
186,62.0644,129.82126
187,62.05948,129.8231
188,60.57182,121.99964
189,63.28062,118.34293
190,60.72258,114.92692
191,71.37095,114.70247
192,71.36971,114.7003
193,71.36717,114.70131
194,71.34616,114.70849
195,71.34417,114.72381
196,71.34815,114.80443
197,71.35465,114.84652
198,71.35879,114.89584
199,71.35888,114.90633
200,62.02704,129.70417
201,62.03951,129.74142
202,62.03454,129.74146
203,62.03425,129.74205
204,62.03468,129.74829
205,62.03789,129.7541
206,71.34408,114.74546
207,71.34726,114.80168
208,71.34828,114.81106
209,62.03245,129.73805
210,62.03472,129.74825
211,62.03439,129.74384
212,62.04387,129.75575
213,62.05537,129.75369
214,62.05362,129.75022
215,62.04884,129.75871
216,62.0491,129.76068
217,62.04924,129.76105
218,62.04218,129.73244
219,62.01834,129.68781
220,62.02778,129.70166
221,62.03772,129.72437
222,62.04024,129.73006
223,62.04507,129.75204
224,62.02753,129.73479
225,62.02695,129.73468
226,62.02619,129.73463
227,62.02612,129.73443
228,62.02604,129.73454
229,62.02609,129.73451
230,62.03863,129.62537
231,62.03247,129.62303
232,62.0324,129.62305
233,62.03242,129.62302
234,62.03346,129.62334
235,62.03408,129.62407
236,62.02871,129.64204
237,62.0269,129.63411
238,62.02073,129.67389
239,62.01707,129.67786
240,62.01878,129.67995
241,62.01097,129.68304
242,62.0127,129.68303
243,61.98114,129.67189
244,61.98112,129.6719
245,61.98147,129.67166
246,61.9778,129.66913
247,61.97212,129.67012
248,61.97198,129.66974
249,61.97184,129.6695
250,61.9507,129.90133
251,62.04908,129.75687
252,62.02635,129.73485
253,62.03294,129.62666
254,62.0328,129.62654
255,62.03244,129.62305
256,62.0328,129.62402
257,62.03211,129.62321
258,62.02691,129.63414
259,62.02537,129.65897
260,62.02095,129.66146
261,62.01692,129.678
262,61.99862,129.68373
263,61.98243,129.67207
264,61.98147,129.67165
265,61.97847,129.66993
266,61.97177,129.66946
267,61.95005,129.9004
268,61.95128,129.90031
269,61.95549,129.9025
270,61.95496,129.90195
271,61.95801,129.90737
272,61.95841,129.90685
273,61.96447,129.90431
274,61.98169,129.91237
275,61.98436,129.91283
276,61.9843,129.91293
277,61.98619,129.9041
278,61.98699,129.90211
279,61.98813,129.8989
280,61.98888,129.896
281,61.989,129.89404
282,61.99468,129.85225
283,61.99753,129.8369
284,62.00053,129.82699
285,62.00008,129.82754
286,62.00356,129.82538
287,61.99978,129.81555
288,62.00137,129.77469
289,62.00731,129.7804
290,62.00421,129.77834
291,62.01421,129.77895
292,62.02496,129.77054
293,62.02576,129.76863
294,62.02597,129.76833
295,62.02732,129.76402
296,62.02722,129.76411
297,62.02994,129.74101
298,62.0301,129.74103
299,62.03059,129.74168
300,62.03043,129.74155
301,62.03078,129.7407
302,62.03162,129.74117
303,62.03119,129.74152
304,62.03113,129.74208
305,62.03075,129.7418
306,62.03069,129.74089
307,62.03072,129.74034
308,62.02775,129.73641
309,62.02763,129.73579
310,62.03223,129.73691
