,LATITUDE,LONGITUDE
223,48.31475,40.25958
224,48.73283,40.3717
225,47.84395,39.78142
226,47.81948,39.60708
227,48.31871,40.26057
228,48.92335,40.46782
229,48.51503,40.34088
230,48.04191,39.92723
231,48.31847,40.26047
232,48.31491,40.25954
233,47.81554,39.89556
234,48.3146,40.25976
235,48.31439,40.26009
236,50.19259,39.58814
237,50.19873,39.58351
238,49.31527,40.32276
239,49.30335,40.33696
240,49.37017,40.17184
241,49.82156,40.53042
242,49.3892,40.15713
243,49.35295,40.30171
244,50.19991,39.58695
245,49.83006,40.52693
246,48.77078,44.49864
247,51.57347,34.68925
248,51.80291,36.16466
249,51.76035,36.24137
250,51.8051,36.19463
251,51.74239,36.2455
252,51.7252,36.13863
253,51.74602,36.25968
254,51.72209,36.18969
255,51.80572,36.17059
256,51.75026,36.22606
257,51.8024,36.1644
258,51.75561,36.25458
259,51.74743,36.23769
260,51.75197,36.25049
261,51.74134,36.14484
262,51.72095,36.23227
263,50.67572,36.46884
264,51.72454,36.13996
265,51.75474,36.25559
266,51.74094,36.19396
267,51.74556,36.25616
268,53.2595,34.44502
269,53.25739,34.45335
270,53.2581,34.45076
271,53.25778,34.45325
272,46.86274,42.03659
273,46.6926,42.32729
274,47.96464,39.92949
275,48.33385,40.26586
276,48.62646,40.35617
277,48.32675,40.26334
278,47.90713,39.93319
279,49.46792,40.30221
280,49.3792,40.28337
281,48.56687,44.47208
282,48.77072,44.49873
283,51.55737,34.68689
284,51.79911,36.16595
285,51.74912,36.25649
286,51.75552,36.25426
287,51.7461,36.25241
288,51.80546,36.17433
289,51.80626,36.17664
290,51.74735,36.25489
291,51.81567,36.1936
292,51.72973,36.23029
293,51.75115,36.23542
294,51.73842,36.25938
295,51.74948,36.2415
296,51.81374,36.16701
297,51.74365,36.15719
298,51.72357,36.23328
299,51.72463,36.13931
300,53.25813,34.45103
301,53.25821,34.45307
302,53.25742,34.44548
303,53.2578,34.45321
304,53.25717,34.45323
305,49.24405,40.32369
306,53.25864,34.44683
307,53.25875,34.44528
308,51.27663,37.50471
309,50.72923,37.094
310,51.27693,37.50459
311,51.2557,37.62697
312,51.27063,37.5033
313,50.62864,36.57658
314,51.2771,37.50468
315,51.2794,37.50452
316,50.6281,36.57435
317,51.25617,37.63959
318,50.63016,36.57425
319,50.71951,37.0948
320,51.27827,37.50527
321,51.27811,37.50336
322,51.27747,37.50511
323,50.83105,37.14109
324,50.62792,36.57593
325,51.25293,37.63327
